Emotions,Path,Source,MFCC_Image_Path,MFCC_Image_Path_10db_AWGN,MFCC_Image_Path_20db_AWGN
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.png
angry,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.png
happy,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.png
sad,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.png
neutral,/content/DSER-MIDCA/data/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,IEMOCAP,mfcc_images/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.png,mfcc_images_10db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.png,mfcc_images_20db/IEMOCAP/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.png
